model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-08-08T00:00:00+00:00,24,1,basin_to_05EA002,0.875,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,1,lower_incremental_05EA005_to_05EA002,0.875,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,1,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,2,basin_to_05EA002,1.559999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,2,lower_incremental_05EA005_to_05EA002,1.559999942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,2,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,3,basin_to_05EA002,1.4199999570846558,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,3,lower_incremental_05EA005_to_05EA002,1.4199999570846558,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,3,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,4,basin_to_05EA002,0.009999999776482582,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,4,lower_incremental_05EA005_to_05EA002,0.009999999776482582,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,4,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,5,basin_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,5,lower_incremental_05EA005_to_05EA002,0.0,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,5,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,6,basin_to_05EA002,2.9149999618530273,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,6,lower_incremental_05EA005_to_05EA002,2.9149999618530273,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
GEPS,2026-08-08T00:00:00+00:00,24,6,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080800_P024_allmbrs.grib2
